"","SampleID","count","excluded","prctAmbiguousIndividuals","prctAmbiguousTaxa","E","O","OoverE","MMI","FLI"
"1","404S02920_20090512",12,0,0,0,9.511061413861,4,0.42056294517987,0.701485014518765,0.561023979849318
"2","404S02920_SCCWRP_20090512",22,0,0,0,9.511061413861,4,0.42056294517987,0.808970741101936,0.614766843140903
"3","404S03048_20090513",14,1,0,0,9.46658642602689,6,0.633808189138161,0.746477255740238,0.6901427224392
"4","404S03048_SCCWRP_20090513",28,1,0,0,9.46658642602689,7,0.739442887327854,0.83354639374462,0.786494640536237
"5","404S05992_20090512",10,0,0,0,9.52238157711706,4,0.42006298189229,0.719678794980876,0.569870888436583
"6","404S05992_SCCWRP_20090512",16,0,0,0,9.52238157711706,3,0.315047236419218,0.785171430908774,0.550109333663996
"7","404S06456_20090514",30,0,0,0,8.88678887446924,10,1.12526584588151,0.908128161618779,1.01669700375014
"8","404S06456_SCCWRP_20090514",43,0,0,0,8.88678887446924,9,1.01273926129336,0.957587144661349,0.985163202977353
"9","404S08040_20090512",11,0,0,0,9.50733628442291,3,0.315545796451451,0.73381164190444,0.524678719177945
"10","404S08040_SCCWRP_20090512",23,0,0,0,9.50733628442291,5,0.525909660752418,0.836119199218719,0.681014429985568
"11","404S08616_20090513",10,0,0,0,9.50512424620411,4,0.420825640611421,0.680730776838216,0.550778208724819
"12","404S08616_dup_20090513",9,0,0,0,9.50512424620411,4,0.420825640611421,0.725059704748801,0.572942672680111
"13","404S08616_dup_SCCWRP_20090513",17,0,0,0,9.50512424620411,4,0.420825640611421,0.763195990731879,0.59201081567165
"14","404S08616_SCCWRP_20090513",19,0,0,0,9.50512424620411,5,0.526032050764277,0.815840638790956,0.670936344777616
"15","404S11406_20090511",16,0,0,0,7.90777587890698,3,0.379373422557679,0.827295568328405,0.603334495443042
"16","404S11406_SCCWRP_20090511",23,0,0,0,7.90777587890698,1,0.126457807519226,0.883940402073283,0.505199104796255
"17","404S16516_20090518",13,0,0,0,9.5147189399371,5,0.525501597216182,0.745795756257443,0.635648676736812
"18","404S16516_SCCWRP_20090518",27,0,0,0,9.5147189399371,6,0.630601916659418,0.862235891031814,0.746418903845616
"19","404S17266_20090519",16,0,6.25,7.69230769230769,9.48162667810903,6,0.632802809443307,0.777904823460761,0.705353816452034
"20","404S17266_SCCWRP_20090519",27,0,3.7037037037037,7.69230769230769,9.48162667810903,6,0.632802809443307,0.838306832125596,0.735554820784452
"21","404S17664_20090520",18,0,0,0,9.49710184755268,4,0.421181120746933,0.745417019752464,0.583299070249698
"22","404S17664_SCCWRP_20090520",22,0,0,0,9.49710184755268,4,0.421181120746933,0.765566532439093,0.593373826593013
"23","404S22464_20090519",9,0,0,0,9.49398404966293,3,0.315989576589452,0.724252349812446,0.520120963200949
