"","1","2","3","4","5","6","7","8","9"
"2347",0.01,0.003,0.003,0.001,0.028,0.002,0.028,0.345,0.58
"2362",0.01,0.003,0.003,0.001,0.028,0.002,0.028,0.345,0.58
"2375",0.01,0.003,0.003,0.001,0.028,0.002,0.028,0.345,0.58
"2385",0.01,0.003,0.003,0.001,0.028,0.002,0.028,0.345,0.58
"2396",0.01,0.003,0.003,0.001,0.028,0.002,0.028,0.345,0.58
"2411",0.014,0.003,0.003,0.001,0.023,0.002,0.038,0.365,0.551
"2440",0.014,0.003,0.003,0.001,0.023,0.002,0.038,0.365,0.551
"2461",0.014,0.003,0.003,0.001,0.023,0.002,0.038,0.365,0.551
"2474",0.014,0.003,0.003,0.001,0.023,0.002,0.038,0.365,0.551
"2480",0.01,0.027,0.136,0.005,0.154,0.002,0.265,0.096,0.305
"2511",0.01,0.027,0.136,0.005,0.154,0.002,0.265,0.096,0.305
"2547",0.01,0.027,0.136,0.005,0.154,0.002,0.265,0.096,0.305
"2575",0.01,0.027,0.136,0.005,0.154,0.002,0.265,0.096,0.305
"2606",0.01,0.027,0.136,0.005,0.154,0.002,0.265,0.096,0.305
"2644",0.01,0.027,0.136,0.005,0.154,0.002,0.265,0.096,0.305
"2677",0.008,0.003,0.003,0,0.051,0.002,0.035,0.315,0.583
"2709",0.008,0.003,0.003,0,0.051,0.002,0.035,0.315,0.583
"2735",0.008,0.003,0.003,0,0.051,0.002,0.035,0.315,0.583
"2762",0.008,0.003,0.003,0,0.051,0.002,0.035,0.315,0.583
"2790",0.008,0.003,0.003,0,0.051,0.002,0.035,0.315,0.583
"2819",0.052,0.01,0.032,0.022,0.175,0.004,0.083,0.206,0.416
"2856",0.052,0.01,0.032,0.022,0.175,0.004,0.083,0.206,0.416
"2889",0.052,0.01,0.032,0.022,0.175,0.004,0.083,0.206,0.416
"2922",0.052,0.01,0.032,0.022,0.175,0.004,0.083,0.206,0.416
"2962",0.052,0.01,0.032,0.022,0.175,0.004,0.083,0.206,0.416
"2997",0.052,0.01,0.032,0.022,0.175,0.004,0.083,0.206,0.416
"3042",0.052,0.01,0.032,0.022,0.175,0.004,0.083,0.206,0.416
"3087",0.052,0.01,0.032,0.022,0.175,0.004,0.083,0.206,0.416
"3134",0.052,0.01,0.032,0.022,0.175,0.004,0.083,0.206,0.416
"3165",0.052,0.01,0.032,0.022,0.175,0.004,0.083,0.206,0.416
"3182",0.01,0.003,0.003,0.001,0.028,0.002,0.032,0.32,0.601
